监测时间,水温(℃),pH(无量纲),溶解氧(mg/L),电导率    (μS/cm),浊度(NTU)
2018-08-02 20:00,19.2,8.29,7.11,475.7,52.0
2018-08-02 21:00,19.4,8.20,7.08,475.3,47.2
2018-08-02 22:00,19.8,8.15,7.01,476.3,42.3
2018-08-02 23:00,20.2,8.30,6.95,476.3,35.6
2018-08-03 00:00,20.5,7.90,6.88,478.7,30.4
2018-08-03 01:00,20.9,8.20,6.82,477.6,26.5
2018-08-03 02:00,21.2,8.29,6.77,477.8,23.5
2018-08-03 03:00,21.4,8.30,6.72,477.7,21.2
2018-08-03 04:00,21.7,8.25,6.68,478.2,19.6
2018-08-03 05:00,21.9,8.26,6.64,478.3,18.1
2018-08-03 06:00,22.1,8.24,6.58,479.0,17.1
2018-08-03 07:00,22.3,8.15,6.54,478.7,15.9
2018-08-03 08:00,22.4,8.24,6.50,478.9,14.9
2018-08-03 09:00,22.6,8.20,6.47,479.2,14.0
2018-08-03 10:00,22.7,8.17,6.45,479.5,13.9
2018-08-03 12:00,23.0,8.15,6.36,481.1,10.1
2018-08-03 14:00,23.0,8.16,6.36,481.1,10.2
2018-08-03 15:00,23.0,8.19,6.34,481.1,9.5
2018-08-03 16:00,23.1,8.32,6.30,482.0,21.8
2018-08-03 17:00,23.1,8.32,6.30,482.0,21.8
2018-08-03 18:00,23.2,8.26,6.26,481.8,8.0
2018-08-03 19:00,23.2,8.23,6.22,481.8,7.7
2018-08-03 20:00,23.3,8.25,6.20,482.0,7.1
2018-08-03 21:00,23.4,8.25,6.18,482.3,6.7
2018-08-03 22:00,23.4,8.26,6.16,482.4,6.3
2018-08-03 23:00,23.4,8.25,6.14,482.8,5.8
2018-08-04 00:00,23.4,8.26,6.14,482.8,5.6
2018-08-04 01:00,23.4,8.24,6.12,483.0,5.2
2018-08-04 02:00,23.4,8.24,6.10,482.8,5.4
2018-08-04 03:00,23.4,8.23,6.08,482.7,5.0
2018-08-04 04:00,23.3,8.24,6.06,482.8,5.1
2018-08-04 05:00,23.3,8.22,6.04,483.1,5.2
2018-08-04 06:00,23.3,8.22,6.01,483.2,5.1
2018-08-04 07:00,23.2,8.20,5.98,483.5,4.9
2018-08-04 08:00,23.2,8.20,5.97,483.7,4.9
2018-08-04 09:00,23.2,8.21,5.96,483.3,4.8
2018-08-04 10:00,23.3,8.27,5.96,483.2,4.9
2018-08-04 11:00,23.4,8.31,5.96,483.0,4.8
2018-08-04 12:00,23.5,8.33,5.97,482.9,4.2
2018-08-04 13:00,23.6,8.34,5.97,483.0,4.1
2018-08-04 14:00,23.7,8.34,5.96,483.3,4.1
2018-08-04 15:00,23.8,8.32,5.95,484.0,3.9
2018-08-04 16:00,23.9,8.30,5.94,484.1,4.1
2018-08-04 17:00,24.0,8.28,5.92,484.4,3.8
2018-08-04 18:00,24.2,8.26,5.89,485.0,3.6
2018-08-04 19:00,24.3,8.26,5.86,485.2,3.5
2018-08-04 20:00,24.3,8.26,5.85,485.1,3.4
2018-08-04 21:00,24.4,8.24,5.82,485.2,3.4
2018-08-04 22:00,24.4,8.22,5.76,485.2,3.3
2018-08-04 23:00,24.5,8.21,5.69,485.1,3.1
2018-08-05 00:00,24.5,8.20,5.60,484.8,2.9
